+------+-----------------+----------+------------+
| cod  |     companie    | plecare  | destinatie |
| 2165 |   FlyEmirates   | Germania |   Canada   |
| 2193 |       Wizz      | Germania |   Canada   |
| 2230 |       Wizz      | Germania |   Canada   |
| 2260 |   FlyEmirates   | Germania |   Canada   |
| 2321 |     BlueAir     | Germania |   Canada   |
| 2324 |     BlueAir     | Germania |   Canada   |
| 2375 |     BlueAir     | Germania |   Canada   |
| 2476 | TurkishAirlines | Germania |   Canada   |
| 2478 | TurkishAirlines | Germania |   Canada   |
| 2490 |     BlueAir     | Germania |   Canada   |
| 2599 |   FlyEmirates   | Germania |   Canada   |
| 2620 |     BlueAir     | Germania |   Canada   |
| 2691 | TurkishAirlines | Germania |   Canada   |
| 2826 | TurkishAirlines | Germania |   Canada   |
| 2835 |     BlueAir     | Germania |   Canada   |
| 2955 |     BlueAir     | Germania |   Canada   |
| 3181 | TurkishAirlines | Germania |   Canada   |
| 3352 | TurkishAirlines | Germania |   Canada   |
| 3503 |     BlueAir     | Germania |   Canada   |
| 3525 | TurkishAirlines | Germania |   Canada   |
| 3538 |     BlueAir     | Germania |   Canada   |
| 3589 |       Wizz      | Germania |   Canada   |
| 3658 | TurkishAirlines | Germania |   Canada   |
| 3720 |   FlyEmirates   | Germania |   Canada   |
| 3947 |   FlyEmirates   | Germania |   Canada   |
| 3986 |   FlyEmirates   | Germania |   Canada   |
| 4093 | TurkishAirlines | Germania |   Canada   |
| 4320 |   FlyEmirates   | Germania |   Canada   |
| 4344 | TurkishAirlines | Germania |   Canada   |
| 4372 |     BlueAir     | Germania |   Canada   |
| 4417 | TurkishAirlines | Germania |   Canada   |
| 4449 |       Wizz      | Germania |   Canada   |
| 4562 |     BlueAir     | Germania |   Canada   |
| 4586 |     BlueAir     | Germania |   Canada   |
| 4638 |       Wizz      | Germania |   Canada   |
| 4714 |     BlueAir     | Germania |   Canada   |
| 4726 |   FlyEmirates   | Germania |   Canada   |
| 4849 | TurkishAirlines | Germania |   Canada   |
| 4867 |   FlyEmirates   | Germania |   Canada   |
| 4909 | TurkishAirlines | Germania |   Canada   |
| 4947 |   FlyEmirates   | Germania |   Canada   |
| 5009 |     BlueAir     | Germania |   Canada   |
| 5076 | TurkishAirlines | Germania |   Canada   |
| 5101 |   FlyEmirates   | Germania |   Canada   |
| 5106 | TurkishAirlines | Germania |   Canada   |
| 5246 |     BlueAir     | Germania |   Canada   |
| 5253 | TurkishAirlines | Germania |   Canada   |
| 5256 |       Wizz      | Germania |   Canada   |
| 5266 |       Wizz      | Germania |   Canada   |
| 5283 |     BlueAir     | Germania |   Canada   |
| 5338 |     BlueAir     | Germania |   Canada   |
| 5343 | TurkishAirlines | Germania |   Canada   |
| 5363 |       Wizz      | Germania |   Canada   |
| 5440 | TurkishAirlines | Germania |   Canada   |
| 5443 | TurkishAirlines | Germania |   Canada   |
| 5455 |   FlyEmirates   | Germania |   Canada   |
| 5515 |     BlueAir     | Germania |   Canada   |
| 5570 |   FlyEmirates   | Germania |   Canada   |
| 5657 |     BlueAir     | Germania |   Canada   |
| 5660 |   FlyEmirates   | Germania |   Canada   |
| 5687 |   FlyEmirates   | Germania |   Canada   |
| 5760 |     BlueAir     | Germania |   Canada   |
| 5783 | TurkishAirlines | Germania |   Canada   |
| 5808 |     BlueAir     | Germania |   Canada   |
| 6117 |     BlueAir     | Germania |   Canada   |
| 6163 |     BlueAir     | Germania |   Canada   |
| 6290 | TurkishAirlines | Germania |   Canada   |
| 6316 |   FlyEmirates   | Germania |   Canada   |
| 6344 |   FlyEmirates   | Germania |   Canada   |
| 6368 |   FlyEmirates   | Germania |   Canada   |
| 6465 |   FlyEmirates   | Germania |   Canada   |
| 6503 |     BlueAir     | Germania |   Canada   |
| 6517 |       Wizz      | Germania |   Canada   |
| 6616 |   FlyEmirates   | Germania |   Canada   |
| 6641 |       Wizz      | Germania |   Canada   |
| 6678 | TurkishAirlines | Germania |   Canada   |
| 6726 | TurkishAirlines | Germania |   Canada   |
| 6813 |     BlueAir     | Germania |   Canada   |
| 6843 | TurkishAirlines | Germania |   Canada   |
| 6900 |     BlueAir     | Germania |   Canada   |
| 7047 |     BlueAir     | Germania |   Canada   |
| 7096 | TurkishAirlines | Germania |   Canada   |
| 7097 |   FlyEmirates   | Germania |   Canada   |
| 7140 |       Wizz      | Germania |   Canada   |
| 7225 | TurkishAirlines | Germania |   Canada   |
| 7265 |   FlyEmirates   | Germania |   Canada   |
| 7290 |     BlueAir     | Germania |   Canada   |
| 7314 | TurkishAirlines | Germania |   Canada   |
| 7355 |     BlueAir     | Germania |   Canada   |
| 7455 |   FlyEmirates   | Germania |   Canada   |
| 7458 | TurkishAirlines | Germania |   Canada   |
| 7515 |       Wizz      | Germania |   Canada   |
| 7520 |   FlyEmirates   | Germania |   Canada   |
| 7599 |   FlyEmirates   | Germania |   Canada   |
| 7665 |     BlueAir     | Germania |   Canada   |
| 7720 |       Wizz      | Germania |   Canada   |
| 7721 | TurkishAirlines | Germania |   Canada   |
| 7808 |       Wizz      | Germania |   Canada   |
| 7976 |   FlyEmirates   | Germania |   Canada   |
| 8064 |     BlueAir     | Germania |   Canada   |
| 8129 | TurkishAirlines | Germania |   Canada   |
| 8156 |       Wizz      | Germania |   Canada   |
| 8163 |     BlueAir     | Germania |   Canada   |
| 8179 |   FlyEmirates   | Germania |   Canada   |
| 8360 |     BlueAir     | Germania |   Canada   |
| 8373 |       Wizz      | Germania |   Canada   |
| 8415 | TurkishAirlines | Germania |   Canada   |
| 8420 | TurkishAirlines | Germania |   Canada   |
| 8567 |       Wizz      | Germania |   Canada   |
| 8570 | TurkishAirlines | Germania |   Canada   |
| 8614 |     BlueAir     | Germania |   Canada   |
| 8624 | TurkishAirlines | Germania |   Canada   |
| 8653 | TurkishAirlines | Germania |   Canada   |
| 8691 | TurkishAirlines | Germania |   Canada   |
| 8774 |     BlueAir     | Germania |   Canada   |
| 8855 |     BlueAir     | Germania |   Canada   |
| 8858 | TurkishAirlines | Germania |   Canada   |
| 8910 |     BlueAir     | Germania |   Canada   |
| 8963 | TurkishAirlines | Germania |   Canada   |
| 8994 |     BlueAir     | Germania |   Canada   |
| 9030 | TurkishAirlines | Germania |   Canada   |
| 9040 |   FlyEmirates   | Germania |   Canada   |
| 9086 |       Wizz      | Germania |   Canada   |
| 9111 |     BlueAir     | Germania |   Canada   |
| 9236 |       Wizz      | Germania |   Canada   |
| 9283 |   FlyEmirates   | Germania |   Canada   |
| 9288 |   FlyEmirates   | Germania |   Canada   |
| 9444 |     BlueAir     | Germania |   Canada   |
| 9529 |   FlyEmirates   | Germania |   Canada   |
| 9736 |       Wizz      | Germania |   Canada   |
| 9792 |   FlyEmirates   | Germania |   Canada   |
| 9801 | TurkishAirlines | Germania |   Canada   |
| 9859 |   FlyEmirates   | Germania |   Canada   |
| 9872 |   FlyEmirates   | Germania |   Canada   |
| 9907 |   FlyEmirates   | Germania |   Canada   |
+------+-----------------+----------+------------+
